Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,-0.00866784026108511,-50.71594008550125,90.52550181390728
1020.172314171412,-0.008263104807812408,-50.67516443828048,89.72089131898542
1040.751550601854,-0.008435659421732696,-50.50978283330377,90.59305765556613
1061.745917854979,-0.008225944140126572,-50.33451983098025,89.80749960337
1083.163790080164,-0.008296400174659673,-49.96212038496785,90.69936942564274
1105.013710352758,-0.007749169276121585,-49.91478161052988,90.31939675786867
1127.304394081712,-0.007906190274674917,-49.69881114076505,89.96616067177175
1150.04473248594,-0.007999284532979711,-49.48214760260205,89.76948174162814
1173.243796140825,-0.008107528730814852,-49.34644296192633,90.34964790810041
1196.910838596237,-0.007716316216500839,-49.20551889441094,90.49404660727023
1221.055300067568,-0.008059711744890549,-49.00890176282662,89.94556868355092
1245.6868112012,-0.00846299664248721,-48.87024886744744,90.49050868422481
1270.815196915934,-0.008010883829420916,-48.60562186478647,90.58859288760064
1296.450480321927,-0.007979227664452452,-48.45320634202445,90.02832716907244
1322.602886718659,-0.008861375375308189,-48.28459913265721,90.42805339113215
1349.282847673564,-0.007023013998758052,-48.10389380826045,89.88888498995215
1376.501005182932,-0.007308165960421488,-47.88793505941518,90.2843945131752
1404.268215916746,-0.008551349327144698,-47.66239685784229,90.37476881800127
1432.595555549147,-0.007847163570200074,-47.50310170354623,90.15772404306368
1461.494323176253,-0.007272139327682572,-47.24843382124988,90.14200202862696
1490.976045823099,-0.008201321018228465,-47.12177215490395,90.66376510382328
1521.052483041492,-0.007601206863510593,-46.86478242781065,90.0388662438591
1551.735631600611,-0.008471272180388321,-46.66775453863146,90.44145662622412
1583.037730272233,-0.00749106617605627,-46.46415850352678,90.8189571359062
1614.971264712484,-0.007876236798182761,-46.27337580207879,90.41612162070879
1647.548972442066,-0.007967803889465705,-46.12504736279976,90.32128231102195
1680.783847926955,-0.008006359447174659,-45.84371553475723,90.41563264429291
1714.689147761571,-0.006946467939548487,-45.71203424056027,90.42044224774997
1749.278395956529,-0.007436702107285682,-45.44581629246768,90.1059386611812
1784.565389333027,-0.007226108393741541,-45.348828844582,90.46007244632978
1820.56420302608,-0.006828400608147474,-45.03325671827981,90.25492404498345
1857.289196098749,-0.006957399346147652,-44.86565026189956,89.94317699166612
1894.755017269623,-0.006792388046617382,-44.60549065990661,90.35749516084621
1932.976610755843,-0.006534933836807605,-44.42779006333463,90.51477367733557
1971.969222234002,-0.006549719897600363,-44.21487987582675,90.36837054379676
2011.748404921261,-0.006588716379751397,-44.03460919941097,90.39671793385872
2052.330025779169,-0.006475649497798408,-43.72404093245864,90.13803190094814
2093.730271842609,-0.006698550640226938,-43.54309307360047,90.29046793543966
2135.965656676413,-0.006947401917138931,-43.34678402549408,90.45282432505658
2179.053026962236,-0.006954568991112716,-43.09824445587133,90.53617725154788
2223.009569218284,-0.006391912625971692,-42.91726318371757,90.15884455668771
2267.85281665461,-0.005707395856869462,-42.70275380825206,90.26090225253513
2313.600656166689,-0.005895862114629231,-42.41442939735555,90.10056424739329
2360.271335470068,-0.007017066764127201,-42.16715398167048,90.31832513931546
2407.883470378948,-0.005140491687385928,-41.95171629026484,90.11481909403486
2456.456052231582,-0.006428129092420862,-41.74609458776371,90.54577698411659
2506.008455465463,-0.006107115510765884,-41.49506530218194,90.12314071774901
2556.560445345327,-0.005314593543224539,-41.26085783134112,90.21836724828393
2608.132185847038,-0.00541082276759758,-41.00208844868555,90.06850766174874
2660.744247700515,-0.005335097025072793,-40.7023282281197,90.07216842669303
2714.417616594906,-0.005771200256430676,-40.43122487691353,90.07989384379344
2769.173701549275,-0.005702210186776772,-40.16755716614795,89.83390552976206
2825.034343452138,-0.004723643088223991,-39.87907362363509,89.87907107780893
2882.021823773282,-0.005515486655634646,-39.59205233986648,89.77626078858225
2940.158873451303,-0.004154474926078528,-39.32598804682161,89.70591807014065
2999.468681960428,-0.004722450252644598,-39.04206072512482,89.46737537509992
3059.974906560243,-0.005833240035704765,-38.71971145777971,89.38871530571276
3121.701681732014,-0.003537339003737843,-38.46650653238235,89.18224294596354
3184.673628805338,-0.003579223288969746,-38.14321064455433,89.15184483801536
3248.915865779009,-0.003311916243511594,-37.88011939701435,89.18378932946554
3314.454017339988,-0.004104724465893327,-37.54853360778239,89.0861410716694
3381.314225084468,-0.003839467361083523,-37.2187713315789,88.93293993314234
3449.523157945136,-0.003050375735372413,-36.89103677338943,88.68515407606888
3519.108022828765,-0.002972337958460812,-36.56520360007381,88.72614385118784
3590.096575468405,-0.002329693249841724,-36.21974408553807,88.64359962021088
3662.517131494463,-0.001890359153863711,-35.82333080583836,88.31121430989882
3736.398577729146,-0.002200295129378184,-35.47105257698627,88.00938967041134
3811.770383708717,-0.001926907784277063,-35.08800028370501,87.90090631693113
3888.662613438172,-0.002551074281137725,-34.69122294533183,87.64880900879795
3967.10593738307,-0.001208887787360385,-34.25310949590085,87.29659202439835
4047.131644703236,-0.002130170348275106,-33.81447909003118,86.75921846112149
4128.771655733252,-0.001954215035978216,-33.37460405646732,86.444956564866
4212.058534714723,-0.001748849619188675,-32.883913608425,85.89470824794572
4297.025502785365,0.0003787197290162235,-32.38263904623984,85.29076122626203
4383.706451230122,0.0002113052335669685,-31.86190236619472,84.69735646206297
4472.13595499958,-0.0001233406664637598,-31.33380006923336,83.97735903250367
4562.349286501099,0.0001800524694246952,-30.71966560603753,83.1479002215052
4654.382429668116,-0.0002675027800438583,-30.11114894775838,82.11178170838498
4748.272094313281,-0.001437859064871862,-29.43755328514644,80.9648369498974
4844.055730771115,0.0009204356450638316,-28.70888730601271,79.53100170903603
4941.771544836059,0.001202728492696968,-27.95808783008472,77.89018159798945
5041.458513001837,0.001210058863380795,-27.12660379918303,75.73328294729038
5143.156398008247,0.001282414915444785,-26.23118033126594,73.14144820922009
5246.905764701577,0.0007763141793465097,-25.25693293160868,69.87842504922085
5352.74799621493,0.002931055031766331,-24.20423038336105,65.75552548677551
5460.725310474973,0.002266904784356451,-23.08197099546179,60.31960788839726
5570.880777041654,-0.004922807606516999,-21.90515835837347,53.03717938041682
5683.258334287616,0.002515713818429142,-20.75897368800632,43.4644022122842
5797.902806924163,0.004251347808869274,-19.84756034454069,31.25480474552788
5914.859923880748,-0.008395972962274161,-19.3594045514065,17.0530538512828
6034.176336545162,0.004173942899298374,-19.42263313864773,2.608433842255039
6155.899637371654,0.004429677213771662,-19.95730474929805,-10.38723834185427
6280.078378864393,-0.005375908241500321,-20.79754274544709,-21.25511169163363
6406.762092943937,0.005082417274463591,-21.78718419508872,-29.92018929515959
6536.001310704296,0.005508245407316373,-22.82276080347881,-36.77505575239574
6667.847582568581,0.002880296256032671,-23.85157480417721,-42.0651049171068
6802.353498851245,0.006913565018378991,-24.84074883821737,-46.27025039157411
6939.572710735075,-0.007336702259187808,-25.76088390655654,-49.62636660339848
7079.559951671379,0.007493377421429396,-26.62672503818104,-52.30437710001126
7222.37105921184,-0.0007290298756124742,-27.43190673224316,-54.37114713077379
7368.062997280773,0.007822302802177815,-28.18126746189213,-56.1299328407653
7516.693878896676,0.007311483598673852,-28.88635095483068,-57.57323640510888
7668.32298935211,0.00744551425224379,-29.55160280628265,-58.8042846983514
7823.010809861179,0.008549205865478303,-30.1864444177775,-59.79481287165606
7980.819041684052,0.007851349293145486,-30.77034343238484,-60.61811747596933
8141.810630738087,0.008983864975093006,-31.31337512068901,-61.41111424691211
8306.049792705478,0.008795061655604839,-31.84751681650006,-61.9973313259509
8473.602038647325,0.00873269321536237,-32.35375503855377,-62.3374213481957
8644.534201134433,0.01127088464713366,-32.83341613011655,-62.63839626878728
8818.914460905235,0.007325098685617564,-33.26950703413915,-63.15199319560642
8996.812374061419,0.01254408267790429,-33.72498904771069,-63.22197550760947
9178.298899812235,0.001470314396429646,-34.13081675693032,-63.63653126361922
9363.446428778372,0.01253367000243357,-34.49033020961352,-63.68430015575758
9552.328811866872,0.004907850194198816,-34.89798080601819,-63.86862933723556
9745.021389728481,0.01349912782327531,-35.25518061515138,-63.93236883382849
9941.601022809215,0.0133572317036993,-35.63343863362131,-63.79611429571555
10142.14612200815,0.01007495797427275,-35.97846614467969,-64.155725280811
10346.73667995366,0.01425483990373915,-36.31494732087785,-64.12915016409357
10555.45430291056,0.006991214584335574,-36.63299954462515,-64.06731607728736
10768.38224333086,0.01507185045397593,-36.94470303434744,-63.90175347816111
10985.60543306118,0.0159440792937987,-37.26374845149508,-63.59140409531062
11207.21051722006,0.003530701846694808,-37.55603969149745,-63.58868164431113
11433.28588875857,0.01579013386140236,-37.89633969077818,-63.56688549314351
11663.92172371818,0.01772879386222209,-38.13958448363168,-63.56846507547514
11899.21001719978,0.01023905753363485,-38.33376320051985,-63.39904135286665
12139.24462005835,0.01782393921913244,-38.67462231917435,-63.22565158668675
12384.12127633778,0.01811140495126133,-38.94002278385605,-62.60480113517406
12633.93766146094,0.0103235349122831,-39.17520889432308,-62.52693771131538
12888.79342118996,0.01832079599362763,-39.39938140676608,-62.42217966528506
13148.79021137263,0.01905970715416342,-39.6834365259292,-62.32024266110903
13414.03173849042,0.005607010932356548,-39.94002468105883,-61.87224760932702
13684.62380102454,0.02030244937568774,-40.08737754413963,-61.47159844905684
13960.67433165639,0.01966184081258145,-40.33744508485381,-61.16214899620655
14242.29344031933,0.01920192669345897,-40.52868209546033,-61.23729961024412
