Time (s),Channel 1 (V),Channel 2 (V)
-0.0007001957027148642,0.6322926887489022,0.05596598570267959
-0.0007000457027148642,0.6346857671018307,0.05698288716503185
-0.0006998957027148642,0.6363951087824932,0.05867772293561819
-0.0006997457027148642,0.6391300554715558,0.05969462439797168
-0.0006995957027148642,0.6401556604799532,0.06071152586032348
-0.0006994457027148642,0.6425487388328819,0.06240636163091058
-0.0006992957027148642,0.6449418171858103,0.06342326309326285
-0.0006991457027148641,0.6466511588664744,0.06477913170973298
-0.0006989957027148642,0.6483605005471369,0.06579603317208479
-0.0006988457027148642,0.6504117105639329,0.0661350003262022
-0.0006986957027148642,0.6534885255891267,0.06850777040502415
-0.0006985457027148642,0.6545141305975244,0.06918570471325869
-0.0006983957027148641,0.6565653406143217,0.07054157332972928
-0.0006982457027148642,0.6589584189672493,0.07189744194619836
-0.0006980957027148642,0.6610096289840452,0.07325331056266804
-0.0006979457027148642,0.6634027073369737,0.07460917917913772
-0.0006977957027148642,0.6647701806815036,0.07528711348737226
-0.0006976457027148642,0.6668213906983012,0.07765988356619466
-0.0006974957027148642,0.6688726007150962,0.07799885072031193
-0.0006973457027148642,0.6702400740596268,0.07935471933678161
-0.0006971957027148642,0.6722912840764219,0.08037162079913342
-0.0006970457027148641,0.6743424940932196,0.08138852226148674
-0.0006968957027148642,0.6760518357738821,0.08274439087795582
-0.0006967457027148642,0.6774193091184126,0.0841002594944255
-0.0006965957027148642,0.6798123874713413,0.08613406241913002
-0.0006964457027148642,0.6815217291520038,0.08715096388148183
-0.0006962957027148641,0.6835729391688011,0.08850683249795258
-0.0006961457027148642,0.6852822808494636,0.08986270111442164
-0.0006959957027148642,0.6863078858578617,0.09054063542265649
-0.0006958457027148642,0.6887009642107902,0.09121856973089133
-0.0006956957027148642,0.6907521742275853,0.0935913398097122
-0.0006955457027148642,0.6921196475721167,0.09460824127206553
-0.0006953957027148642,0.6934871209166475,0.0956251427344178
-0.0006952457027148642,0.695880199269576,0.09765894565912232
-0.0006950957027148642,0.6969058042779737,0.09867584712147412
-0.0006949457027148641,0.699298882630903,0.0996927485838273
-0.0006947957027148642,0.7003244876393007,0.1007096500461791
-0.0006946457027148642,0.7027175659922291,0.1020655186626488
-0.0006944957027148642,0.7040850393367597,0.1044382887414707
-0.0006943457027148642,0.7061362493535548,0.1051162230497053
-0.0006941957027148642,0.7085293277064852,0.1071500259744104
-0.0006940457027148642,0.7105805377232803,0.1078279602826449
-0.0006938957027148642,0.7116061427316782,0.1088448617449972
